feature,permutation_auprc_drop_mean,permutation_auprc_drop_std,train_coverage
RR_CO2__last,0.0016197909546731837,0.002847054424029438,0.9935497742420984
BIS_EMG__last,0.0014761484765103638,0.0018760207454614122,0.9079767791872716
EtCO2__last,0.0014353472396928931,0.001551774546855939,0.9948398193936788
RemiEffectSite__slope_per_min,0.0013596625148896775,0.0016573022017573524,0.6929692539238873
BIS__slope_per_min,0.0013558306224171904,0.001030570465146413,0.9114168995914858
FeO2__std,0.0011592856940988736,0.0005619067387944083,0.9950548269189422
BIS_SEF__coverage,0.001044504198272748,0.0009017319060673993,1.0
BIS_SEF__slope_per_min,0.001019192086826126,0.0008463812523967163,0.8909911846914642
PropofolRate__slope_per_min,0.0010036493476379435,0.001344800173044441,0.30208557299505484
FiO2__slope_per_min,0.0009924736601144902,0.00025728761310486807,0.9946248118684154
ExpDes__std,0.0008609928553570827,0.001075335956866536,0.21952268329391528
PropofolRate__last,0.00079425133917523,0.0005954677032886052,0.3093958288540099
MeanAirwayPressure__last,0.0007840832180071699,0.0014771883250963447,0.9989249623736831
SetTidalVolume__std,0.0006733027026514571,0.0007618761073372404,0.9698989464631262
Compliance__slope_per_min,0.0005521856073738673,0.0007321852623863681,0.8396043861535154
PIP__std,0.0005454179900361567,0.0008159486790050776,0.9974199096968394
PropofolEffectSite__last,0.0004515312796948945,0.0009487607539016671,0.3093958288540099
BIS_SEF__std,0.0004268975606306162,0.001011102009677215,0.891421199741991
ST_II__slope_per_min,0.0003801996797152577,0.0008209056939652376,0.9501182541388948
BIS_SR__std,0.0003550168843122833,0.0004376268414199688,0.891421199741991
BIS_SR__last,0.00035369337963390144,0.00054343998786525,0.891421199741991
BIS_SR__coverage,0.0003522450425148538,0.0005089031427457115,1.0
BIS_SR__mean,0.0003203527233393529,0.0007002078859901754,0.891421199741991
ST_II__last,0.0003079542710699064,0.0008360872026513762,0.9505482691894216
BIS__coverage,0.0003040337707145698,0.0005802420264019061,1.0
PropofolEffectSite__slope_per_min,0.0002898815721630754,0.0008515140368866201,0.30208557299505484
SpO2__std,0.00024468237755250757,0.0002902514114775461,0.9963448720705225
PIP__slope_per_min,0.00024240596769417773,0.0005252389712177225,0.8368092883250914
BIS_SR__slope_per_min,0.00023226615713332435,0.0006704451957511013,0.8909911846914642
ST_II__std,0.00018630973308823758,0.0007412482420158101,0.9505482691894216
PropofolEffectSite__coverage,0.0001821250614450783,0.0012685398710420473,1.0
EtCO2__slope_per_min,0.0001689097514400273,0.0005225596702421397,0.9935497742420984
ExpDes__coverage,0.00015742190301200055,0.0004660460301659393,1.0
TidalVolume__slope_per_min,0.0001570451649180164,0.0009415910758778268,0.8359492582240379
MAC__std,0.0001380606214347842,0.00015820673830989966,0.9987099548484197
EtCO2__std,0.00011148729958713559,0.0005320461976968228,0.9948398193936788
SetRespRate__coverage,0.00010137188989474503,0.0005329315585621379,1.0
FeO2__slope_per_min,9.952297712674991e-05,0.0006080125993413706,0.994409804343152
ST_II__coverage,5.204308107401578e-05,8.827761761453754e-05,1.0
